ingilizce;Türkçe
"hibernate
thesis
bumblebee 
somehow 
flooding
tubes
bubbles 
encouraging";"kýþ uykusuna yatmak
tez
yaban arýsý
bir þekilde
su baskýný
tüpler
kabarcýklar
teþvik edici"
"retailer
overtake
manufacturer
competition 
ranking
shipments";"perakendeci
sollamak
üretici firma
yarýþma
sýralama
gönderiler"
"healthcare
championed
throughout
abstention
despite
majority
guardian
overrule
verdict
Supreme court
appeal
nonbinary
determination
inform
obtain
decades
sufficiently
surgery
behalf
conservative
opposition
faulted
abuse
concerns
justified
complained
measures
insisted
legislation";"saðlýk hizmeti
þampiyon
boyunca
çekimserlik
aksine
çoðunluk
Muhafýz
geçersiz kýlmak
karar
Yargýtay
çekici
ikili olmayan
kararlýlýk
bilgi vermek
elde etmek
onlarca yýl
yeteri kadar
ameliyat
adýna
tutucu
muhalefet
hatalý
suistimal etmek
endiþeler
haklý
þikayet edildi
miktar
ýsrar etti
mevzuat"
"fraud
tycoon
sentence
convict
invincible
violate
erode
estate
makeup
downtown 
ally
lender
accuse
loans";"sahtekar
iþ adamý
cümle
mahkum
yenilmez
ihlal etmek
aþýndýrmak
arazi
makyaj yapmak
þehir merkezi
müttefik
borç veren
suçlamak
krediler"
temple;tapýnak
vibrant;canlý
"ethical
manufactured 
cultivating 
cultivating stem cells
attitude
cruelty
cruel
impatient";"etik
üretilmiþ
yetiþtirmek
kök hücre yetiþtirmek
davranýþ
zulüm
acýmasýz
sabýrsýz"
savage;vahþi
bullies;zorbalar
nasty text;kötü metin
"silent
coast
geyser
faithfull
saltier";"sessiz
sahil
þofben
sadýk
daha tuzlu"
endlings;sonlar
therefore;Öyleyse
bother;rahatsýz etmek
skid;patinaj
shadows;gölgeler
obviously;açýkça
l was supposed;sanýyordum
supposed;sözde
slept;uyudum
landed;indi
people is shit;insanlar boktan
abandon;terk etmek
you are not pursuing;takip etmiyorsun
you are dating;çýkýyorsun
noglect;ihmal
l just froze up;sadece dondum
l was scared;korktum
"puppet 
Profit
revise
forecast
statement 
depreciation
revenue
anticipate
spring
prediction 
Meanwhile";"kukla
Kâr
tekrar düzeltme yapmak
tahmin etmek
ifade
amortisman
hasýlat
beklemek
bahar
tahmin
Bu sýrada"
"ruin
punctuality
pressure
impression
recruit
gap
Awareness 
guideline
regulation";"mahvetmek
dakiklik
basýnç
izlenim
iyileþtirmek
açýklýk
Farkýndalýk
yönerge
düzenleme"
dawn;þafak
precede;önce gelmek
hush;sus
disturbance;rahatsýzlýk
precisely;açýk olarak
subscription;abonelik
dare;cesaret etmek
desolate;ýssýz
volcano;yanardað
reclin;uzanmak
ought;yapmalý
"imagine
 cuisine
freshwater
served
based
danger
sustainable, 
cultivating,
cells
used
taste
methods,
require
farmed
 raised
 planet 
plant";"hayal etmek
  yerel mutfak
temiz su
servis edildi
temelli
tehlike
sürdürülebilir,
yetiþtirme,
hücreler
kullanýlmýþ
tatmak
yöntemler,
gerekmek
çiftçilik
  kabarýk
  gezegen
bitki"
gathered;toplandý
stood;durmak
marriage;evlilik
gratefully;minnetle
torn;yýrtýk
ducat;düka
priest;rahip
discouraged;cesareti kýrýlmýþ
desperately;umutsuzca
godmother;vaftiz annesi
darling;Caným
mayor;Belediye Baþkaný
peasants;köylüler
pray;dua etmek
their life was a constant struggle;hayatlarý sürekli bir mücadeleydi
constant struggle;Sürekli mücadele
cracks;çatlaklar
fool;aptal
realize;fark etmek
"leftovers 
further 
fireworks
mess
manners
skip";"kalanlar
daha öte
havai fiþek
karýþýklýk
töre
atlamak"
"waste
rude 
Obligation
fork
puppy
instructions
struction
pay attention";"atýk
kaba
Yükümlülük
çatal
köpek yavrusu
talimatlar
inþaat
dikkat etmek"
buging;rahatsýz edici
"convenient
gerund
hunt
drinking too much coffee 
drinking coffee wakes me up";"uygun
ulaç
avlamak
çok fazla kahve içmek
kahve içmek beni uyandýrýr"
shameful time;utanç verici zaman
the beating of rain;yaðmurun vuruþu
chimney;baca
convince;ikna etmek
untasted;tadýlmamýþ
marrons glaces were untasted;marrons glaces'in tadý yoktu
accounted for;hesaba katýlmýþ
possessed;ele geçirilmiþ
l had my misgivings;endiþelerim vardý
misgive;kuþkulandýrmak
wholly;tamamen
my point was gained;demek istediðim kazanýldý
a tortured frown;iþkence gören bir kaþ çatma
his brow;onun kaþý
pucker;büzüþme
rake;týrmýklamak
so fond of raking up the past;geçmiþi kurcalamayý çok seviyorum
fond;düþkün
"fond
species
investigated 
upscale
donut-shaped
traits
Infants";"düþkün
türler
araþtýrýldý
lüks
çörek þeklinde
özellikler
Bebekler"
progressive grade;ilerici derece
up-to-date;güncel
strain upon;zorlamak
strain;gerilmek
heaven;cennet
complacently;gönül rahatlýðýyla
connubial;evlilik
suit the connubial exigencies;evlilik gereksinimlerine uygun
martyrdom;þehitlik
kittens;yavru kedi
I know you want to one of her smoke Persian kittens as a perspective wife Wumples , or husband , is it;Perspektif olarak eþ Wumples veya koca olarak onun Ýran kedilerinden birini içmek istediðini biliyorum, deðil mi?
prospective wife;müstakbel eþ
prospective;muhtemel
l who should have know better;daha iyi bilmesi gereken ben
reginald;muhteþem
underground;yeraltý
coast;sahil
prejudice;ön yargý
immigrant;göçmen
they shot animals;hayvanlarý vurdular
west;batý
argued;savundu
strips;þeritler
dairy;günlük
miserable journey;sefil yolculuk
carriage;taþýma
afterwards;daha sonrasýnda
arrangements;düzenlemeler
exact location;tam konum
exact;bire bir ayný
air guns;hava silahlarý
What's the matter?;Sorun ne?
blinds;panjur
surgery;ameliyat
not to me;bana deðil
not even to me;bana bile deðil
occupie;iþgal etmek
But not as often as a before.;Ama eskisi kadar sýk ??deðil.
rumour;söylenti
rumours;söylentiler
they are at least a dozen;onlar en az bir düzine
towards;karþý
she interrupted;sözünü kesti
interrupted;kesintiye uðradý
corpse;ceset
murder;cinayet
you murdered them;onlarý öldürdün
imprison;hapis
mad;kýzgýn
she nodded;baþýný salladý
megnificent;muhteþem
wealthy;zengin
comments;yorumlar
entire siruation;tüm durum
terrified;dehþete düþmüþ
l am embarrassed;utanýyorum
fascinate;cezbetmek
selfish;bencil
silent;sessiz
fair man;adil adam
he fell over a cliff;bir uçurumun üzerinden düþtü
ones;olanlar
they are the descendants of the ones my father brought with him from Virginia;onlar babamýn Virginia'dan yanýnda getirdiði kiþilerin torunlarý
descendants;torunlarý
marble houses;mermer evler
precious stone;deðerli taþ
cure;tedavi
l did that;bunu yaptým
I though boys always did that nowdays;Bugünlerde erkeklerin hep bunu yaptýðýný sanýyordum
bowed;eðildi
get in;Alýn
it belongs to us;o bize ait
the worst is over;en kötüsü bitti
downhill;yokuþ aþaðý
uphill;yokuþ yukarý
whispered;fýsýldadý
it as big as walnuts;ceviz kadar büyük
walnuts;ceviz
quite;epeyce
quiet;sessizlik
preparatory school;hazýrlýk Okulu
exclusive;özel
think outside the box;at gözlüklerini çýkar
it is the other way around;bu tam tersi
so far so good;Þimdiye kadar, çok iyi
bear in mind;aklýnda tut
no way;Mümkün deðil
peed;iþemek
coyote;çakal
imperative;zorunlu
dead plan;ölü plan
"Candidates 
frequent churning";"Adaylar
sýk çalkalama"
"four pillars
collaboration
transparency
binaries
stream aligned teams
empowered
maintainable 
density
reduce
assertions
community
evaluate
consulting
scope
beyond
observalibility
service mesh
Given/When/Then";"dört sütun
iþbirliði
þeffaflýk
ikili dosyalar
akýþ uyumlu ekipler
yetkili
bakýmý yapýlabilir
yoðunluk
azaltmak
iddialar
toplum
deðerlendirmek
Danýþmanlýk
kapsam
öte
gözlemlenebilirlik
servis aðý
Verildi/Ne zaman/Sonra"
"giant
tusk
ivory
threat
continent
so the longer the tusks are, the older the elephant is.
reliance
due 
predicted
sustainable
cite
distractions 
efficient";"devasa
diþ
fildiþi
tehdit
kýta
yani diþler ne kadar uzunsa fil de o kadar yaþlýdýr.
güven
vadesi dolmuþ
tahmin
sürdürülebilir
anmak
dikkat daðýtýcý þeyler
verimli"
"NGINX
SolarWinds Server and Application Monitor (SAM)
LoadMaster
Zevenet
Incapsula";"NGINX
SolarWinds Sunucusu ve Uygulama Monitörü (SAM)
Yük Yöneticisi
Zevenet
Kapsül"
"fried 
pickles
sincerely 
intersection
stand a chance
lift
candidate
Round Robin";"kýzarmýþ
turþu
samimi olarak
kavþak
þansý olmak
kaldýrmak
aday
Yuvarlak Robin"
shoot;film çekmek
gentle;nazik
I don't belong anywhere;Hiçbir yere ait deðilim
cheerful;neþeli
playful;þakacý
pover;yoksulluk
poverty;yoksulluk
signs;iþaretler
blew his horn wildly;çýlgýnca kornasýný çaldý
rock;kaynak
rocked;sallandý
knocked breath;nefesi kesildi
the road ahead was quite empty ,and went on for many kilometers I drove more slowly until some distance separated us;Önümüzdeki yol oldukça boþtu ve kilometrelerce devam ettim. Aramýzda biraz mesafe kalana kadar daha yavaþ sürdüm.
fault;arýza
if he killed us nobody would say it was his fault the law will be on his side;eðer bizi öldürürse kimse bunun onun hatasý olduðunu söylemez kanun ondan yana olur
a bit;biraz
if you turned to the right,he could easily kill us all .he probably wanted a bit of fun .but he might want an accident;eðer saða dönersen hepimizi kolaylýkla öldürebilir. muhtemelen biraz eðlence istiyordur. ama bir kaza da isteyebilirdi.
"moving 
lorry 
fear 
stranger
foreigner
quite
stretched
death
at that pint l woke up in fear
brakes";"hareketli
kamyon
korku
yabancý
yabancý
epeyce
gergin
ölüm
o bira bardaðýnda korkuyla uyandým
frenler"
cute;Sevimli
repetitive;tekrarlayan
"mystery 
strange
realized
realize
release
bravely
courage
carried
superstitious
occult
philosophy";"gizem
garip
gerçekleþtirilmiþ
fark etmek
serbest býrakmak
cesurca
cesaret
taþýnan
batýl inançlý
gizli
Felsefe"
I rode in a cab to my house;Taksiye binip evime gittim
stairs;merdiven
explanation;açýklama
constructive;yapýcý
canstruction;inþaat
adequate;yeterli
suffocation;boðulma
bell;zil
flame;alev
foresight;öngörü
incessant;aralýksýz
insight;iç yüzü
l foresee;öngörüyorum
delusive;aldatýcý
miseries of delusive;aldatýcý sefaletler
desire;arzu
existence;varoluþ
earthly;dünyevi
wearisome;yorucu
groan;inilti
axecptional;olaðanüstü
l am cursed with ah axecptional physical constitution;Olaðanüstü bir fiziksel yapýyla lanetlendim
l am cursed;lanetliyim
constitution;anayasa
protract;uzatmak
protracted;uzun süreli
angina;anjina, göðüs aðrýsý
agenda;Gündem
angina pectoris;anjina pektoris
approaches;yaklaþýmlar
"crucial
sincere
trait
devalue 
qualification
rehearsals
facial
posture
comprehension
 what comes to mind first
 what comes";"hayati
içten
karakter
deðerini düþürmek
vasýf
provalar
yüz
duruþ
anlama
  aklýma ilk ne geliyor
  Ne gelir"
"You will feel more confident if you conduct a
job interview with your friends in English";"bir davranýþ sergilerseniz kendinizi daha güvende hissedersiniz.
Arkadaþlarýnýzla Ýngilizce iþ görüþmesi"
tape;kaset
"gather
lantern
literally
strip
fireworks
medieval
cliffs
inspiring
mecca
draw
artificial 
extract
ingredient
boost";"toplamak
Fener
gerçekten
þerit
havai fiþek
Ortaçaða ait
uçurumlar
ilham verici
Mekke
çizmek
yapay
çýkarmak
bileþen
artýrmak"
tissues;Dokular
tissue;doku
highlighther;Vurgulayýcý
prize;ödül
fur;kürk
tuft;püskül
traits;özellikler
brewing;bira yapýmý
priority;öncelik
"deserted
measure
conserve 
scholars
centuries
ignored
countless 
obelisks
coffins
papyrus
tombs
craftsmen
Emerging
plagues
mythical 
timelessly 
echo 
painstakingly
bygone";"ýssýz
ölçüm
korumak
alimler
yüzyýllar
görmezden gelindi
sayýsýz
Dikilitaþlar
tabutlar
papirüs
mezarlar
ustalar
Ortaya çýkan
vebalar
efsanevi
zamansýz
Eko
özenle
geçmiþ"
"indicates
excessive 
hernias
abdominal
angle
spouse
conducted
inadequate";"gösterir
aþýrý
fýtýklar
karýn
açý
eþ
yürütülen
yetersiz"
"helmet
rope
cliff
brands
thrill seeker
gear
goggles";"kask
halat
uçurum
markalar
Heyecan arayan
vites
gözlük"
"helmet
goggles
applauded
vows
disturbed
interrupted
suffers
assessments 
civilizations
empire 
span
epoch
Scholar
sophisticated
society
accomplished 
anthropologist 
rebellion
significant";"kask
gözlük
alkýþlandý
yeminler
rahatsýz
kesintiye uðradý
acý çekiyor
deðerlendirmeler
medeniyetler
imparatorluk
açýklýk
çað
Akademisyen
sofistike
toplum
baþarýlý
antropolog
isyan
önemli"
l am a bit like grown pus;ben biraz büyümüþ irin gibiyim
çifault;kusur
sense;algý
figures;rakamlar
elegance;zarafet
addition;ek
solar;güneþ
sheep;koyun
variety;çeþitlilik
ancient;antik
looking forwad;ileriye dönük
constant;devamlý
cuisine;yerel mutfak
cutting edge trends;son trendler
"tribes
gather
Natural Night Vision
drops";"kabileler
toplamak
Doðal Gece Görüþü
damla"
"ancient
literally
surround 
marvels 
preserving
Chubby 
struggle 
spiked
nail
quantities
tend
somnolence.";"antik
gerçekten
çevrelemek
harikalar
muhafaza
Hantal
çabalamak
çivili
çivi
miktarlarý
eðilimli olma
uyku hali."
"car interior 
truck 
steering wheel
glove compartment
gear shift
chauffeur
windshield
vent
tires
ignition
floor mat
semi truck
pick up truck
van
sedan";"araba iç
kamyon
direksiyon
torpido gözü
Vites deðiþtirme
þoför
ön cam
havalandýrma
lastikler
ateþleme
paspas
Yarý kamyon
kamyonet
kamyonet
sedan"
sign;imza
"sidewalk
drowsy
proven
nap
investigators 
discard
domestic 
landfills
pressure
crude
combating
leaks
coffee consumption
reveals";"kaldýrým
uykulu
kanýtlanmýþ
kestirme
araþtýrmacýlar
atmak
yerel
çöplükler
basýnç
ham
mücadele
sýzýntýlar
kahve tüketimi
ortaya çýkarýr"
fill out;doldur
"sinking ship
daydream
sweep
dye
cease
shout
candidate
recurring dream
unselfish
LifeStraw
taint
insufficient 
sufficient 
Consequently
contaminated
straw
hollow 
taint
Pure
Impure
Foul
camper
reveal";"batan gemi
hayal kurmak
süpürmek
boya
durdurmak
baðýrmak
aday
tekrar eden rüya
bencil olmayan
HayatSaman
leke
yetersiz
yeterli
Sonuç olarak
kirlenmiþ
pipet
oyuk
leke
Saf
saf olmayan
Faul
kampçý
ortaya çýkarmak"
"examination 
thrilling
intense 
entertaining
dreary
soak
dive
debate
racel
rock climbing
scuba diving
scuba 
dreary day
carabiner
harness";"muayene
heyecan verici
yoðun
eðlenceli
kasvetli
emmek
dalmak
çekiþme
yarýþ
kayalýklara týrmanma
dalma
tüplü dalýþ
kasvetli gün
karabina
tesisat"
pregnant;hamile
contest;yarýþma
"sinking ship
daydream
sweep
dye
cease
shout
candidate
recurring dream
unselfish
LifeStraw
taint
insufficient 
sufficient 
Consequently
contaminated
straw
hollow 
taint
Pure
Impure
Foul
campers 
revealed";"batan gemi
hayal kurmak
süpürmek
boya
durdurmak
baðýrmak
aday
tekrar eden rüya
bencil olmayan
HayatSaman
leke
yetersiz
yeterli
Sonuç olarak
kirlenmiþ
pipet
oyuk
leke
Saf
saf olmayan
Faul
kampçýlar
açýklýða kavuþmuþ"
fall;düþmek
"you scratch my back and i'll scratch yours 
assign
negotiation
get benefits
agent who represents
ex-wife 
distribütö
bluffing
hint
compromise
appliance
offer";"sen benim sýrtýmý kaþý, ben de seninkini kaþýyacaðým
atamak
müzakere
fayda elde etmek
temsil eden ajan
eski eþ
daðýtým
blöf yapmak
ipucu
anlaþmak
cihaz
teklif"
brown;kahverengi
receipt;fiþ
bracelet;bileklik
"appetite
hibernation
Preventing Blindness
eyeballs
permanently
vessel
due
nerves
ginger
supplement
secretion
consuming";"iþtah
kýþ uykusu
Körlüðü Önlemek
gözbebekleri
kalýcý olarak
gemi
vadesi dolmuþ
sinirler
zencefil
ek
salgý
tüketen"
jam;reçel
cereal;mýsýr gevreði
bowl;tas
whole;tüm
"chapel 
Treating
heal
scarring
moisture
promising alternative";"þapel
Tedavi
iyileþtirmek
yara izi
nem
umut verici alternatif"
"throat
giant
overdue
admit
band
news feed
pedestrian
rapid 
interference
dilemma 
irritating 
immune";"boðaz
devasa
vadesi geçmiþ
itiraf etmek
bant
haber akýþý
yaya
ani
parazit yapmak
ikilem
rahatsýz edici
baðýþýklýk"
"prettiest
participle";"en güzel
katýlýmcý"
"vigorous 
moderate 
longevity 
torture 
obtain
obsessed
came down to
tough
portrays";"kuvvetli
ýlýman
uzun ömürlülük
iþkence
elde etmek
takýntýlý
aþaðý geldi
zorlu
tasvir eder"
"vigorous 
moderate 
longevity 
torture 
obtained 
obsessed
came down to
tough
portrays";"kuvvetli
ýlýman
uzun ömürlülük
iþkence
Elde edilen
takýntýlý
aþaðý geldi
zorlu
tasvir eder"
color;renk
collar;yaka
prettiest;en güzel
"leisure
garment 
devote
faded 
Vibrant
emerge
worn
quantity 
Inferior
Mediocre
Superior";"boþ vakit
giysi
adamak
solmuþ
Canlý
meydana gelmek
yýpranmýþ
miktar
Kalitesiz
Vasat
Üst"
worn;yýpranmýþ
"vicious 
vexing
handy
 hacker";"kýsýr
üzücü
kullanýþlý
  bilgisayar korsaný"
"deeds
donating
donating blood
compliment
thunderstorm
compliment
flat tire
assist
retirement";"iþler
baðýþ yapmak
kan baðýþlamak
iltifat
fýrtýna
iltifat
patlak lastik
yardým
emeklilik"
"attire
formal";"giydirmek
resmi"
"purse
backpack
suitcase
Footprint 
remains 
primitive
conducte
conclude
suspected
ancestors
barefoot 
persecution
elevating 
proclaim
annoyance 
harassment
efficient
dermal 
grooves
discourages 
rough
maintain 
chimneys";"el çantasý
sýrt çantasý
bavul
Ayak izi
kalýntýlar
ilkel
idare etmek
sonuçlandýrmak
þüpheli
atalar
yalýnayak
zulüm
yükseltici
ilan etmek
sýkýntý
taciz
verimli
dermal
oluklar
cesaretini kýrar
kaba 
sürdürmek
bacalar"
"dew
mud
lawn
tank top
rake";"çiy
çamur
çim
kolsuz bluz
týrmýklamak"
"neighborhood
mitt
pitcher
umpire
batter
bat
awesome";"komþu
eldiven
atýcý
hakem
meyilli
sopa
Mükemmel"
"contraction
contract
frequently
hiking
affirmative
formal";"kasýlma
sözleþme
sýklýkla
doða yürüyüþü
olumlu
resmi"
"soap
soup
floss
curtains
washcloth
comb
shave
here you go
anything else";"sabun
çorba
diþ ipi
perdeler
lif
tarak
týraþ olmak
Hadi bakalým
baþka bir þey"
"metaphor
compares 
interpret 
establishment
grosses 
Awesome
floss";"metafor
karþýlaþtýrýr
yorumlamak
kuruluþ
brüt
Mükemmel
diþ ipi"
"allotments
shovel
herb garden
fee
spade
cucumbers
corn
anchor
grapes
rake
hoe
trowel
pruning shears
eggplants
carrot
messing
convenient
olive
quote
earth";"tahsisler
kürek
bitki bahçesi
ücret
kürek
salatalýklar
Mýsýr
Çapa
üzüm
týrmýklamak
çapa
mala
budama makasý
patlýcan
havuç
karýþýklýk
uygun
zeytin
alýntý
toprak"
portrait;Vesika
engine;motor
necktiees;kravatlar
consequence;sonuçlar
concerned;endiþeli
encounters;karþýlaþmalar
chew;çiðnemek
prey;kurban
their prey whole;onlarýn avý bütün
swallow;yutmak
boa constrictor;Boa yýlaný
"Which one is she reading?
which one do you want to hear?
I just took a shower.
Do you have a brush?
Which one
shower
We're gonna get you
brush
reindeer
teller
surrealism
impressionism
cubism
influence
mural
inspire
pitch in
volunteer";"Hangisini okuyor?
hangisini duymak istersiniz?
Az önce duþ aldým.
Fýrçan var mý?
Hangisi
duþ
Seni alacaðýz
fýrçalamak
ren geyiði
veznedar
sürrealizm
izlenimcilik
kübizm
etkilemek
duvar
ilham vermek
devreye girmek
gönüllü"
"tongue
silence
angle
fragrant
spicy
noise
floral
citrus
smooth
hard
liquid
surface
sensitive
tingle
deafening
burst
tiny hairs
dreamt
jackfruit
Asia
Korea
sunset
close to me";"dil
sessizlik
açý
kokulu
baharatlý
gürültü
çiçek
narenciye
düz
zor
sývý
yüzey
hassas
karýncalanma
saðýr edici
patlamak
minik kýllar
rüya gördüm
nefesi
Asya
Kore
gün batýmý
bana yakýn"
"sight
smell
great sense of humor";"görünüþ
koku
harika bir mizah anlayýþý"
"indeed 
suggests 
procrastinate
reward
breakdown 
mysterious 
men-made
contrast
flourish
ponder
intensity 
bursts of exercise";"Aslýnda
öneriyor
ertelemek
ödül
bozulma
gizemli
insan yapýmý
zýtlýk
güzelleþmek
düþünmek
yoðunluk
egzersiz patlamalarý"
"appeal
extensive 
repetitive
resemble 
encloses
protection
versatile 
commitment
muscles
skate";"çekici
yaygýn
tekrarlayan
benzemek
kapsar
koruma
çok yönlü
baðlýlýk
kaslar
paten"
"improvisation
formal
audition
to try out
break leg
pretend
confused
t think doing improv is more difficult
improv";"doðaçlama
resmi
seçme
denemek için
kýrýk bacak
numara yapmak
kafasý karýþmýþ
doðaçlama yapmanýn daha zor olduðunu düþünmüyorum
doðaçlama"
"skirt
blouse
talk  a blue streak
preference
send reels";"etek
bluz
mavi çizgi konuþmak
tercih
makaralarý gönder"
"MAGNIFICENT
BOND
CONTRIBUTION";"MUHTEÞEM
BAÐLAMAK
KATKI"
"plead 
guilty";"savunmak
suçlu"
"keeping your eyes peeled
observatory tower
southernmost
spectacular 
wilderness
to obtain, find, or purchase
proposed
engagement
paw
buddy";"gözlerini açýk tutmak
gözlemevi kulesi
en güneydeki
muhteþem
el deðmemiþ doða
edinmek, bulmak veya satýn almak için
önerilen
niþanlanmak
Pati
ahbap"
"gym amenities
push-up
l am winded
they are doing push-up
a carpet
spinning
roomba
 l am breathing
do you get winded easily when you work out";"spor salonu olanaklarý
þýnav
Sarýldým
þýnav çekiyorlar
bir halý
dönen
oda arkadaþý
  nefes alýyorum
spor yaparken çabuk yorulur musun"
"aquatic
porpoises
dolphins 
procreate 
loggerhead turtles
Passionate
Passionate Photography
obligated 
innocence
youthful innocence
regret";"suda yaþayan
yunuslar
yunuslar
doðurmak
Caretta kaplumbaðalarý
Tutkulu
Tutkulu Fotoðrafçýlýk
zorunlu
masumiyet
gençlik masumiyeti
piþmanlýk"
"spot
invest
scratch
dessert
noodle made from rice
comprehension
evaluated 
aquatic 
mammals";"leke
yatýrým
çizik
tatlý
pirinçten yapýlan þehriye
anlama
deðerlendirildi
suda yaþayan
memeliler"
"Workout
 exhausted
brew 
satisfaction 
diapers
disposable
wasteful 
inefficient
contributor 
landfills
composed 
seaweed
harsh
Irritated 
itching";"Antrenman yapmak
  yorgun
demlemek
memnuniyet
çocuk bezleri
tek kullanýmlýk
müsrif
yetersiz
katkýda bulunan
depolama alanlarý
oluþan
Deniz yosunu
sert
RAHATSIZ olmak
kaþýntý"
"trades
driveway
drummer
fragile 
Precious 
trousers
pants
mustache
afro
stubble";"esnaf
araba yolu
davulcu
kýrýlgan
Deðerli
pantolonlar
pantolon
býyýk
Afro
anýz"
payless drugs;parasýz ilaçlar
"backheel 
What a backheel 
What a goal that is for Barcelona.
Dembele just moved over to the left wing. 
wing
plenty
sunbathe
bottom corner
hiking
The trees look so beautiful.";"arka topuk
Ne bir topuk
Barcelona için ne büyük bir gol.
Dembele sol kanada geçti.
kanat
bolca
güneþlenmek
alt köþe
doða yürüyüþü
Aðaçlar çok güzel görünüyor."
"dryers
towels
tidied
germ - mikrop
reevaluating 
obvious 
siblings
fewer 
stimulating 
subsequent 
conduct";"kurutucular
Havlu
düzenli
mikrop - mikrop
yeniden deðerlendirme
bariz
kardeþler
daha az
uyarýcý
sonraki
yönetmek"
"ounces 
hop
tracks
chased
belonged
l were tired of being chased.
robins
crow
owl
hummingbird
sparrow
flapped
worms
beaks
propers";"gram
zýplamak
izler
kovaladý
aitti
Takip edilmekten býktým.
ardýç kuþu
karga
baykuþ
sinek kuþu
serçe
çýrpýlmýþ
solucanlar
gagalar
uygun"
"fond
species
investigated 
upscale
donut-shaped
traits
Infants";"düþkün
türler
araþtýrýlmýþ
lüks
çörek þeklinde
özellikler
bebekler"
"ounces 
hop
tracks
chased
belonged
l were tired of being chased.
robins
crow
owl
hummingbird
sparrow
flapped
worms
beaks
propers";"ons
zýplamak
izler
kovaladý
aitti
Takip edilmekten býktým.
ardýç kuþu
karga
baykuþ
sinek kuþu
serçe
çýrpýlmýþ
solucanlar
gagalar
uygun"
"remind
ripeness 
slipp 
squash
pumpkin
winter remind me of hot tea";"hatýrlatmak
olgunluk
kayma
kabak
kabak
kýþ bana sýcak çayý hatýrlatýyor"
"calluages 
challenges
baggage
proceed
Last hurrah
era
nutritious";"çaðrýlar
zorluklar
bagaj
ilerlemek
Son gösteri
dönem
besleyici"
"chicken meat
beef meat
bread
ham
rank
toppings
pineapple
pepperoni";"tavuk eti
sýðýr eti
ekmek
jambon
rütbe
soslar
ananas
pepperoni"
"attitude
towards
Opet is nicely displayed
heart
aircraft";"davranýþ
karþý
Opet güzel sergileniyor
kalp
uçak"
"treatment
shaping
hot towel shave
muscle
less irritation
smooth
shave
dyes";"tedavi
þekillendirme
sýcak havlu týraþý
kas
daha az tahriþ
düz
týraþ olmak
boyalar"
"helmet
goggles
applauded
vows
disturbed
interrupted
suffers
assessments 
civilizations
empire 
span
epoch
Scholars 
sophisticated
society
accomplished 
anthropologist 
rebellion
significant";"kask
gözlük
alkýþlandý
yeminler
rahatsýz
kesintiye uðradý
acý çeker
deðerlendirmeler
medeniyetler
imparatorluk
açýklýk
çað
Alimler
komplike
toplum
baþarýlý
antropolog
isyan
önemli"
"deter 
ingredients 
rancid
Fragrant
Stinky
Intelligence
skulls 
examined
located
nutrients
steel
stainless
 germs";"caydýrmak
içindekiler
kokmuþ
Kokulu
Kokmuþ
Ýstihbarat
kafataslarý
incelendi
bulunan
besinler
çelik
paslanmaz
  mikroplar"
"coworkers
secluded
sanctuary";"iþ arkadaþlarý
gözlerden uzak
barýnak"
"insect
dish
potluck
digest
recipe";"böcek
tabak
çanak çömlek
sindirmek
yemek tarifi"
intermittent;aralýklý
insects;haþarat
"endangered
threats
nets
candidate
resume
recruitment 
strengths
 casual
budget
purchases
withdrawing 
worth 
affordable";"nesli tükenmekte olan
tehditler
aðlar
aday
sürdürmek
iþe alým
güçlü
  gündelik
bütçe
alýmlar
geri çekilme
deðer
ekonomik"
"prevent not getting burnt
Black Sea
Aegean Sea 
Mediterranean sea";"yanmamasýný önlemek
Kara Deniz
Ege Denizi
Akdeniz"
"obtain
scout
mood 
disorders
Skunks
legendary
predator 
glands
tail";"elde etmek
izci
mod
bozukluklar
Kokarcalar
efsanevi
avcý
bezler
kuyruk"
"prime
generous 
over the hill
exact 
decorate 
Night Owl
surroundings
disinfect
tray
stretch
ingredients.
shacks 
inspiration 
plenty
vineyard
rhinos
giraffes";"astar vurmak
cömert
tepenin üzerinde
bire bir ayný
süslemek
Gecekuþu
çevre
dezenfekte etmek
tepsi
uzatmak
içindekiler.
barakalar
esin
bolca
üzüm baðý
gergedanlar
zürafalar"
"encounter 
attempt
 poor weather
capsiz
pavement";"rastlamak
giriþim
  kötü hava
alabora
döþeme"
"gesture
 etiquette
farther
audiby
confidence
shyness
fear
manner";"jest yapmak
  görgü kurallarý
daha uzaða
sesli
kendinden emin
utangaçlýk
korku
biçim"
"gesture
 etiquette
farther
audiby
confident
shyness
fear
manner";"jest yapmak
  görgü kurallarý
daha uzaða
sesli
kendinden emin
utangaçlýk
korku
tavýr"
"pumps
intersections
cyclist";"pompalar
kavþaklar
bisikletçi"
"sights
convince
skateboard
fuel
unscramble
tire
safer intersections";"manzaralarý
ikna etmek
kaykay
yakýt
çözmek
yorulmak
daha güvenli kavþaklar"
